Date,Open,High,Low,Close,Adj Close,Volume
1996-07-01,878.969971,878.969971,815.770020,833.479980,833.479980,0
1996-08-01,846.770020,875.010010,846.770020,851.059998,851.059998,0
1996-09-01,854.630005,898.969971,848.150024,898.969971,898.969971,0
1996-10-01,901.289978,930.549988,901.289978,923.760010,923.760010,0
1996-11-01,921.909973,993.580017,921.909973,993.580017,993.580017,0
1996-12-01,993.000000,994.849976,947.229980,973.900024,973.900024,0
1997-01-01,969.049988,1034.739990,969.049988,1034.739990,1034.739990,0
1997-02-01,1035.589966,1075.819946,1024.719971,1042.849976,1042.849976,0
1997-03-01,1048.780029,1073.640015,1000.000000,1000.000000,1000.000000,0
1997-04-01,1003.330017,1059.699951,974.940002,1059.699951,1059.699951,0
1997-05-01,1056.130005,1125.719971,1056.130005,1124.219971,1124.219971,0
1997-06-01,1121.689941,1192.239990,1113.689941,1174.589966,1174.589966,0
1997-07-01,1182.569946,1268.050049,1182.569946,1268.050049,1268.050049,0
1997-08-01,1258.589966,1276.250000,1197.010010,1197.010010,1197.010010,0
1997-09-01,1234.439941,1272.949951,1215.410034,1262.560059,1262.560059,0
1997-10-01,1273.510010,1310.599976,1169.689941,1220.400024,1220.400024,0
1997-11-01,1252.959961,1286.689941,1209.819946,1276.890015,1276.890015,0
1997-12-01,1302.819946,1315.280029,1247.750000,1298.819946,1298.819946,0
1998-01-01,1305.040039,1320.160034,1242.099976,1313.189941,1313.189941,0
1998-02-01,1341.319946,1407.900024,1341.319946,1407.900024,1407.900024,0
1998-03-01,1405.729980,1484.920044,1389.270020,1480.000000,1480.000000,0
1998-04-01,1488.699951,1519.619995,1458.729980,1494.890015,1494.890015,0
1998-05-01,1507.329956,1508.770020,1469.189941,1469.189941,1469.189941,0
1998-06-01,1469.459961,1535.010010,1451.650024,1528.869995,1528.869995,0
1998-07-01,1548.770020,1601.079956,1512.589966,1512.589966,1512.589966,0
1998-08-01,1501.530029,1501.530029,1293.900024,1293.900024,1293.900024,0
1998-09-01,1343.939941,1442.660034,1316.810059,1376.790039,1376.790039,0
1998-10-01,1335.359985,1488.780029,1299.439941,1488.780029,1488.780029,0
1998-11-01,1506.310059,1617.949951,1505.319946,1579.020020,1579.020020,0
1998-12-01,1594.869995,1687.030029,1549.630005,1670.010010,1670.010010,0
1999-01-01,1668.520020,1739.839966,1647.569946,1739.839966,1739.839966,0
1999-02-01,1730.810059,1731.319946,1654.239990,1685.770020,1685.770020,0
1999-03-01,1682.859985,1793.849976,1668.369995,1753.209961,1753.209961,0
1999-04-01,1763.310059,1858.290039,1758.189941,1821.109985,1821.109985,0
1999-05-01,1847.630005,1866.869995,1750.189941,1778.099976,1778.099976,0
1999-06-01,1767.800049,1876.780029,1767.800049,1876.780029,1876.780029,0
1999-07-01,1888.150024,1940.760010,1818.180054,1818.180054,1818.180054,0
1999-08-01,1817.270020,1892.869995,1754.329956,1809.189941,1809.189941,0
1999-09-01,1824.199951,1860.150024,1739.920044,1759.589966,1759.589966,0
1999-10-01,1759.770020,1870.939941,1711.770020,1870.939941,1870.939941,0
1999-11-01,1858.859985,1957.869995,1850.130005,1908.969971,1908.969971,0
1999-12-01,1921.489990,2021.400024,1921.489990,2021.400024,2021.400024,0
2000-01-01,2002.109985,2016.640015,1872.609985,1919.839966,1919.839966,0
2000-02-01,1940.239990,1985.489990,1837.699951,1883.500000,1883.500000,0
2000-03-01,1901.510010,2107.280029,1869.329956,2067.760010,2067.760010,0
2000-04-01,2077.969971,2092.870117,1872.550049,2005.550049,2005.550049,0
2000-05-01,2027.400024,2027.400024,1898.939941,1964.400024,1964.400024,0
2000-06-01,2003.449951,2055.840088,1994.329956,2012.829956,2012.829956,0
2000-07-01,2033.579956,2091.139893,1966.199951,1981.359985,1981.359985,0
2000-08-01,1991.430054,2104.429932,1991.430054,2104.429932,2104.429932,0
2000-09-01,2108.760010,2108.760010,1979.310059,1993.329956,1993.329956,0
2000-10-01,1992.939941,1993.699951,1846.079956,1984.910034,1984.910034,0
2000-11-01,1973.719971,1989.189941,1828.420044,1828.420044,1828.420044,0
2000-12-01,1828.810059,1919.650024,1759.619995,1837.369995,1837.369995,0
2001-01-01,1785.859985,1913.130005,1785.859985,1902.550049,1902.550049,0
2001-02-01,1913.109985,1913.109985,1729.079956,1729.079956,1729.079956,0
2001-03-01,1730.920044,1764.390015,1559.650024,1619.540039,1619.540039,0
2001-04-01,1599.359985,1750.979980,1540.170044,1745.390015,1745.390015,0
2001-05-01,1769.119995,1836.020020,1741.329956,1757.089966,1757.089966,0
2001-06-01,1763.869995,1795.959961,1691.589966,1714.319946,1714.319946,0
2001-07-01,1731.530029,1731.530029,1641.760010,1697.449951,1697.449951,0
