Year;Month;News-Based Historical Economic Policy Uncertainty
1953;7;72,70238
1953;8;60,56891
1953;9;45,44143
1953;10;64,72421
1953;11;75,88195
1953;12;71,51015
1954;1;94,55936
1954;2;89,64388
1954;3;73,64675
1954;4;45,41204
1954;5;49,40274
1954;6;77,7514
1954;7;48,06743
1954;8;49,01925
1954;9;59,8084
1954;10;58,61703
1954;11;57,81487
1954;12;44,4123
1955;1;74,90004
1955;2;72,5394
1955;3;57,4623
1955;4;54,57359
1955;5;47,68922
1955;6;31,88437
1955;7;36,04877
1955;8;44,27595
1955;9;40,89177
1955;10;41,47469
1955;11;49,90896
1955;12;37,83755
1956;1;70,16759
1956;2;68,82139
1956;3;61,69565
1956;4;51,56644
1956;5;40,80233
1956;6;40,19051
1956;7;55,18898
1956;8;38,90877
1956;9;29,62021
1956;10;45,49249
1956;11;65,41603
1956;12;54,83926
1957;1;76,27751
1957;2;58,41375
1957;3;40,7943
1957;4;41,4277
1957;5;43,82982
1957;6;54,6205
1957;7;55,92306
1957;8;50,48261
1957;9;34,63057
1957;10;31,91898
1957;11;52,10978
1957;12;59,98262
1958;1;67,27277
1958;2;55,91778
1958;3;53,66846
1958;4;53,53402
1958;5;72,54568
1958;6;56,70101
1958;7;60,27753
1958;8;41,00827
1958;9;31,80185
1958;10;40,61568
1958;11;46,54479
1958;12;49,49479
1959;1;43,81541
1959;2;47,89583
1959;3;43,84299
1959;4;41,0105
1959;5;35,80554
1959;6;36,47415
1959;7;42,65975
1959;8;40,69082
1959;9;45,76478
1959;10;35,64394
1959;11;36,87564
1959;12;45,38642
1960;1;61,86753
1960;2;58,57156
1960;3;35,21153
1960;4;45,99794
1960;5;46,92206
1960;6;45,2061
1960;7;52,13044
1960;8;50,12878
1960;9;44,7094
1960;10;43,66991
1960;11;66,53564
1960;12;45,40381
1961;1;62,06585
1961;2;41,52408
1961;3;39,76148
1961;4;30,30727
1961;5;47,23153
1961;6;56,72371
1961;7;46,05004
1961;8;53,37792
1961;9;46,03877
1961;10;40,20292
1961;11;51,09821
1961;12;46,17371
1962;1;58,91591
1962;2;38,48257
1962;3;42,71896
1962;4;47,33257
1962;5;40,36163
1962;6;72,51713
1962;7;69,69733
1962;8;74,40321
1962;9;67,45135
1962;10;58,75923
1962;11;52,35891
1962;12;55,67612
1963;1;78,37273
1963;2;73,32969
1963;3;54,81013
1963;4;47,13971
1963;5;53,95648
1963;6;62,08118
1963;7;66,54863
1963;8;56,48883
1963;9;63,51764
1963;10;46,44674
1963;11;53,11105
1963;12;67,0354
1964;1;66,82889
1964;2;47,75383
1964;3;60,45047
1964;4;46,8498
1964;5;38,48962
1964;6;54,40498
1964;7;47,96618
1964;8;70,64072
1964;9;59,29446
1964;10;49,35463
1964;11;59,11851
1964;12;67,70137
1965;1;49,0364
1965;2;51,43788
1965;3;34,92422
1965;4;58,57585
1965;5;54,86812
1965;6;61,4911
1965;7;55,86753
1965;8;59,97374
1965;9;51,21729
1965;10;51,717
1965;11;46,22306
1965;12;74,34534
1966;1;80,69454
1966;2;61,92202
1966;3;63,72849
1966;4;40,11172
1966;5;68,83986
1966;6;46,27209
1966;7;62,09819
1966;8;63,11915
1966;9;66,66354
1966;10;76,22933
1966;11;66,17731
1966;12;82,94269
1967;1;90,27
1967;2;66,93809
1967;3;66,62245
1967;4;58,12015
1967;5;67,24309
1967;6;104,3271
1967;7;57,09362
1967;8;62,88665
1967;9;53,34394
1967;10;84,87354
1967;11;87,2205
1967;12;91,07095
1968;1;143,6121
1968;2;81,82943
1968;3;122,9717
1968;4;103,1435
1968;5;81,64022
1968;6;72,94321
1968;7;76,25378
1968;8;70,25402
1968;9;57,63731
1968;10;71,6377
1968;11;91,21746
1968;12;75,85532
1969;1;89,01481
1969;2;80,4358
1969;3;76,96495
1969;4;71,80157
1969;5;69,87302
1969;6;67,90115
1969;7;85,07747
1969;8;69,67721
1969;9;63,77333
1969;10;75,46093
1969;11;73,59576
1969;12;100,1887
1970;1;75,64574
1970;2;57,42809
1970;3;54,88065
1970;4;57,30018
1970;5;101,7444
1970;6;93,97366
1970;7;66,49288
1970;8;59,18301
1970;9;79,37045
1970;10;64,22906
1970;11;78,76212
1970;12;94,85004
1971;1;93,13931
1971;2;79,67215
1971;3;75,90736
1971;4;74,11324
1971;5;76,53064
1971;6;96,09102
1971;7;95,87852
1971;8;130,9362
1971;9;105,0038
1971;10;98,42293
1971;11;153,7147
1971;12;108,3225
1972;1;112,4502
1972;2;71,76375
1972;3;84,64276
1972;4;79,34438
1972;5;97,76109
1972;6;77,11426
1972;7;87,17723
1972;8;82,20914
1972;9;85,74998
1972;10;75,90504
1972;11;101,8098
1972;12;89,16421
1973;1;125,2916
1973;2;111,4471
1973;3;110,9223
1973;4;97,92986
1973;5;110,7151
1973;6;132,3655
1973;7;108,4034
1973;8;134,6914
1973;9;84,55733
1973;10;139,9967
1973;11;137,2997
1973;12;151,2028
1974;1;160,2345
1974;2;148,106
1974;3;134,9695
1974;4;104,3565
1974;5;142,9499
1974;6;122,7228
1974;7;124,8654
1974;8;151,1949
1974;9;104,6114
1974;10;124,0432
1974;11;125,8201
1974;12;162,4868
1975;1;129,9032
1975;2;106,3248
1975;3;116,7597
1975;4;113,3198
1975;5;105,0516
1975;6;107,4451
1975;7;110,6664
1975;8;109,5971
1975;9;115,8052
1975;10;142,8292
1975;11;129,2045
1975;12;136,1439
1976;1;116,9357
1976;2;87,90685
1976;3;101,4273
1976;4;86,91444
1976;5;108,3752
1976;6;84,14511
1976;7;73,35417
1976;8;106,9546
1976;9;101,3299
1976;10;95,25882
1976;11;134,6794
1976;12;107,2945
1977;1;107,9642
1977;2;97,99583
1977;3;83,89773
1977;4;112,9544
1977;5;132,8431
1977;6;95,04467
1977;7;108,2888
1977;8;97,11402
1977;9;99,45884
1977;10;132,1659
1977;11;132,0205
1977;12;158,0803
1978;1;147,6257
1978;2;130,9626
1978;3;137,5203
1978;4;114,8249
1978;5;106,9273
1978;6;111,9843
1978;7;139,5195
1978;8;102,8884
1978;9;112,9788
1978;10;104,4685
1978;11;126,4814
1978;12;124,2456
1979;1;114,9338
1979;2;146,9616
1979;3;122,6051
1979;4;128,2938
1979;5;126,9821
1979;6;126,8749
1979;7;174,9269
1979;8;87,745
1979;9;128,1396
1979;10;162,191
1979;11;156,7856
1979;12;142,2252
1980;1;140,9613
1980;2;104,0282
1980;3;112,0333
1980;4;128,2655
1980;5;110,6678
1980;6;104,2862
1980;7;137,7653
1980;8;127,499
1980;9;109,3112
1980;10;117,555
1980;11;130,1082
