Year;Month;News_Based_Policy_Uncert_Index
2016;5;96,22233582
2016;6;233,9561157
2016;7;164,4583893
2016;8;106,8856277
2016;9;86,34352875
2016;10;108,0641251
2016;11;254,1013184
2016;12;161,4247742
2017;1;195,0406342
2017;2;177,77771
2017;3;154,6096802
2017;4;157,6765442
2017;5;129,8880615
2017;6;120,6384659
2017;7;141,1383209
2017;8;137,8597107
2017;9;116,620018
2017;10;125,8658524
2017;11;111,2864838
2017;12;140,350174
2018;1;160,7523346
2018;2;113,8430328
2018;3;187,181839
2018;4;139,270462
2018;5;162,3330994
2018;6;134,2376099
2018;7;176,2786713
